OID_,lst_2015sp,lst_2015su,lst_2015au,lst_2015wi,lst_2016sp,lst_2016su,lst_2016au,lst_2016wi,lst_2017sp,lst_2017su,lst_2017au,lst_2017wi,lst_2018sp,lst_2018su,lst_2018au,lst_2018wi,lst_2019sp,lst_2019su,lst_2019au,lst_2019wi,lst_2020sp,lst_2020su,lst_2020au,lst_2020wi,lst_2021sp,lst_2021su,lst_2021au,lst_2021wi,lst_2022sp,lst_2022su,lst_2022au,lst_2022wi,lst_2023sp,lst_2023su,lst_2023au,lst_2023wi
334,21.01672742,40.35246656,31.70487596,21.40979972,25.43280926,43.51755308,37.36682609,23.87761016,33.30621833,40.35246656,31.22464415,19.02060374,32.28593936,36.69176714,33.56598785,19.70078972,29.21997542,41.61713396,32.32353758,19.75035101,27.54685463,38.15126168,28.97387798,20.2442549,33.67536449,22.2779768,31.199009,23.95964264,28.23558566,18.87362888,36.30211286,22.5685085,26.42745308,30.98880077,25.98994652,22.5343283
335,26.64278834,39.41080205,34.51790642,23.32218191,28.85424728,47.13552725,38.07435623,26.31465842,35.58432866,41.80170704,34.41878384,21.51234032,32.92340009,49.65289898,36.38072732,26.25313406,30.94778453,42.41353262,34.6682993,21.80970806,30.32057786,39.23648303,26.29585931,26.3625107,33.36090665,39.64322741,34.29573512,25.81904552,32.24492312,45.32910368,37.42493243,24.75262328,36.89684834,39.53214176,30.9426575,25.31659658
336,14.14992524,39.58683008,29.61475673,21.46277903,25.95405731,46.30323938,36.91564745,24.77654942,35.27841587,42.89889146,32.45342234,19.40342198,31.64676962,nan,35.18783834,22.00111718,30.96658364,39.00063965,29.6950802,20.36559461,28.635494,37.16858093,28.98755006,24.18694097,31.4211803,37.009643,33.77790509,23.8331759,29.08667264,42.82711304,37.88807414,23.31363686,31.74247418,42.05805854,26.74874696,22.93423664
337,22.653959,39.40567502,31.99882568,22.06947758,24.66717278,45.56152904,33.53693468,24.54241505,35.93638472,40.71477668,32.36626283,20.41344689,33.05157584,41.60175287,34.71615158,24.8414918,30.0881525,38.78872241,31.31522168,20.20323866,28.977296,36.9583727,30.4470446,25.046573,20.93127692,30.46584371,29.93775962,24.51165287,30.04030022,36.60973466,38.55287903,23.6280947,30.54445817,41.71283852,30.67263392,23.31363686
338,22.3805174,40.28239715,35.80649996,21.96010094,25.70625086,44.39598422,30.15309488,24.87225398,35.05111754,40.5472937,32.25517718,20.28527114,29.4558188,46.76125406,35.47837004,25.22089202,31.36307396,39.54239582,34.13679719,20.45617214,28.7722148,39.02456579,30.95462057,25.02435587,38.01454088,38.23329416,33.45148418,24.49285376,29.5241792,44.32591481,37.92909038,23.17349804,31.91166617,38.40419516,27.5588177,23.82292184
339,22.3805174,40.28239715,35.80649996,21.96010094,25.70625086,44.39598422,30.15309488,24.87225398,35.05111754,40.5472937,32.25517718,20.28527114,29.4558188,46.76125406,35.47837004,25.22089202,31.36307396,39.54239582,34.13679719,20.45617214,28.7722148,39.02456579,30.95462057,25.02435587,38.01454088,38.23329416,33.45148418,24.49285376,29.5241792,44.32591481,37.92909038,23.17349804,31.91166617,38.40419516,27.5588177,23.82292184
340,20.98596524,37.88807414,31.86723191,21.12952208,26.16426554,44.24217332,29.34302414,24.20232206,34.29915314,40.1029511,31.05545216,19.28379128,32.30302946,46.38527186,34.4632181,24.36980504,30.38039321,38.4623015,33.36774269,19.68369962,28.54662548,38.54946101,29.86085417,24.13396166,37.32751886,36.98913488,32.40386105,23.77165154,29.15161502,43.95164162,36.9583727,22.31899304,31.19729999,38.0008688,26.57784596,22.48989404
341,21.78919994,39.58341206,35.24594468,21.56190161,26.25484307,44.80614662,29.148197,24.91668824,34.5999389,40.38664676,31.85526884,19.0308578,32.82598652,40.06364387,34.78451198,24.32537078,30.76492046,37.35828104,31.1819189,20.25109094,28.6013138,38.00257781,29.97023081,24.60735743,36.84216002,36.74987348,32.52690977,23.68449203,28.5500435,43.94480558,37.99061474,22.81118792,31.4895407,38.547752,26.59493606,22.9444907
342,20.68176146,38.35292486,33.762524,22.86245822,27.43747799,46.84670456,31.17166484,26.05659791,36.03208928,40.7523749,34.25130086,20.75353988,34.71273356,41.794871,36.64733288,26.30098634,31.92362924,38.04701207,31.63993358,21.44739794,29.2849178,39.65519048,31.60746239,25.27899836,32.90460098,38.43837536,33.99494936,25.34394074,30.71706818,44.21653817,39.4877075,24.74578724,28.86791936,39.71671484,28.2595118,24.2433383
343,20.68176146,38.35292486,33.762524,22.86245822,27.43747799,46.84670456,31.17166484,26.05659791,36.03208928,40.7523749,34.25130086,20.75353988,34.71273356,41.794871,36.64733288,26.30098634,31.92362924,38.04701207,31.63993358,21.44739794,29.2849178,39.65519048,31.60746239,25.27899836,32.90460098,38.43837536,33.99494936,25.34394074,30.71706818,44.21653817,39.4877075,24.74578724,28.86791936,39.71671484,28.2595118,24.2433383
